Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values
211,2254,964785486,-1204141392
212,2229,-1764960408,1235221081
213,2285,-1782015803,-30611824
214,2316,381439506,-1975818233
215,2254,1013623995,-1250966781
216,2384,-1262270344,1669839781
217,2229,1235121722,1806422744
218,2384,-412520816,1805055382
219,2353,-11907497,1951662797
220,2378,-2033044572,2069003822
221,2260,-285268893,691889551
222,2353,-1415302709,1373162250
223,2322,-1207985581,-128676545
224,2316,-365642553,-1056975977
225,2254,1228222750,-589299928
226,2378,-1328000130,1591152393
227,2229,1942328997,-130638117
228,2384,1546229220,1038846463
229,2229,-773001788,-1666352310
230,2229,-344551609,-254355870
231,2347,445409971,1726113108
232,2223,-104531745,1285537121
233,2285,-881615598,-707655935
234,2316,-368847770,1411049487
235,2322,-1946108402,144242410
236,2316,-464303569,822177137
237,2322,844359015,74743940
238,2378,-1997279018,1216349442
239,2229,-1996105486,-1817867506
240,2378,-1414381966,1101551257
241,2229,-421214225,-1033812602
242,2285,1262869083,946078410
243,2322,-1586430052,1383973827
244,2285,-1091567327,1283344700
245,2384,1161863922,-63660035
246,2223,-1353627688,-1336766333
247,2223,-1852543710,1985964490
248,2378,690878057,1964464708
249,2223,-1228714297,-1022096647
250,2322,951348909,1271686738
251,2316,1583569246,78436550
252,2291,-480703438,-1937758464
253,2384,-1203840766,1902345287
254,2291,959718181,1280819249
255,2229,1564526139,-915552340
256,2285,-115238094,259473572
257,2291,1557874246,547326634
258,2254,217046710,1528005627
259,2347,1829318043,-360509295
260,2285,1030797620,1021106948
261,2316,168274336,-1721703142
262,2223,1043826460,1192514521
263,2384,1875909391,480337846
264,2291,-1541476787,1748489822
265,2353,623844087,288020715
266,2254,1967160944,1678189949
267,2378,-710626700,270969283
268,2254,-547616915,1213327192
269,2260,683867171,-192014649
270,2254,-49630791,1940262121
271,2316,-206585078,564930210
272,2229,1609775708,-733865083
273,2260,343389358,-307585121
274,2254,1577486658,-952897491
275,2322,1805334169,1138515671
276,2322,-238829970,-1571044071
277,2353,1921855991,417473248
278,2322,260648065,1516999022
279,2291,-382610571,-475669603
280,2384,1611124915,23754414
281,2347,2088551110,2060934773
282,2347,1924153272,1399552883
283,2223,590439307,-1255602056
284,2378,1033861544,1911242429
285,2384,-559127550,-431919174
286,2347,-543143423,-159207081
287,2316,798886994,-326050551
288,2229,-1547806741,1476339317
289,2285,22244033,937335114
290,2316,823132235,2012463200
291,2223,1280153587,-298358517
292,2223,-1681786244,853541323
293,2291,121979422,1289716976
294,2322,-2144869036,384434242
295,2223,1674843268,-927139108
296,2254,-1355075442,254544974
297,2353,-2089326456,-1893944307
298,2347,-1000274063,886413011
299,2229,-330497483,-1700035755
300,2316,-2081677753,-1673036132
301,2316,-234440922,1324623199
302,2285,1901034133,1223902316
303,2285,1324536488,1989270162
304,2260,-1794337701,1440031002
305,2223,-809878150,-2019711765
306,2322,-45061973,589643027
307,2378,-806388713,-660912445
308,2384,-517711061,-2006273388
309,2316,371855252,1403243535
310,2384,459315851,896140685
311,2260,-1987650687,-11338320
312,2384,1243508819,1892115120
313,2229,-1993690952,-1118159056
314,2285,964828065,47008169
315,2285,-2036461864,2003876189
316,2285,-1458711004,-15878830
317,2254,337213385,-847090609
318,2260,-161277073,-317179051
319,2322,-1710828207,-78002972
320,2384,910779210,-899308585
321,2260,-1546075198,1989316231
322,2223,876253889,484007600
323,2353,-2019451493,166608757
324,2378,1604674336,-1530914314
325,2229,-1692923844,1705720871
326,2285,1041632728,-337701772
327,2285,1220448417,-371708994
328,2285,-1292131405,429047497
329,2260,1440220190,-1631966042
330,2316,-1643437504,-708998306
331,2254,-1373330828,26430671
332,2223,354278676,-765601000
333,2254,-1001245647,-422968860
334,2285,153782259,991761195
335,2347,1374227220,1367292689
336,2353,961224313,-1055534033
337,2291,-205828033,924018049
338,2378,-1220711171,-627328487
339,2291,512284007,-692624401
340,2223,-462825760,236753928
341,2260,1914537043,-820089806
342,2378,-449974691,877518270
343,2223,-901612486,463809012
344,2378,254449580,1122177851
345,2291,-238480654,2100651153
346,2384,2003667673,585185689
347,2254,-1977880202,-375536792
348,2223,1747497880,1943805383
349,2291,1711264510,-640699546
350,2260,1486648997,1957670261
351,2316,-1609123033,1583080666
352,2316,-714458117,-283522522
353,2347,219849131,1201181020
354,2223,-1367470859,2119819808
355,2347,-1375254095,2084981129
356,2229,58513676,-1088171240
357,2322,-628814408,-293709010
358,2291,1579754314,-919890415
359,2260,1687900832,291431212
360,2378,1260395575,-1021403378
361,2316,-1479262815,176637645
362,2353,-1122402858,-1774281246
363,2384,931034792,21111209
364,2291,41937924,-866568656
365,2260,932127210,286125545
366,2285,340398703,960948396
367,2322,-1055816837,-1916907812
368,2322,-174404376,603381323
369,2353,-1896026840,-451647516
370,2353,-1938223528,-1642678163
371,2384,-2058391422,453605041
372,2378,955851757,-740399334
373,2291,-1216687566,-369165332
374,2285,487453677,-1423853498
375,2378,-1407879102,1896094292
376,2260,-1884130467,-2120543670
377,2322,-1578733283,-1649428680
378,2254,445431344,-1524459187
379,2285,-2005188341,-331111709
380,2322,2063035802,443778084
381,2378,1156809092,-1454291167
382,2260,1082580883,312808162
383,2353,-1755312920,256684352
384,2229,-1616683810,-1791089525
385,2316,1212227051,622667443
386,2229,-1336408946,-523536051
387,2378,-1063025450,1190035659
388,2316,-369961786,-118084061
389,2229,-1166836105,-162394480
390,2285,-1907477163,785044785
391,2260,-1620049843,-442965158
392,2260,750542499,1081912331
393,2347,1831958492,-1163430956
394,2378,717441040,-772575635
395,2384,2122777395,1014365855
396,2322,1443059441,-269017473
397,2322,1756349510,916472632
398,2260,1032157466,363721653
399,2378,-871519096,-1135661522
400,2291,-2147219388,219749151
401,2378,30757813,-864939308
402,2285,1797854768,2006172683
403,2316,-1541984718,1829909830
404,2322,-1406321142,2079142776
405,2285,2117037437,721158507
406,2229,192575689,694204851
407,2254,-1015679248,1750252438
408,2347,1086565565,-53358406
409,2347,1721889443,1330865120
410,2378,674059914,-882312736
411,2229,461462492,-1845769569
412,2384,-1871976655,672775836
413,2260,-1785258488,410998921
414,2254,2049709210,345768433
415,2260,1299359915,465621963
416,2347,702196992,-206692477
417,2353,1816113021,123093736
418,2347,-1610791707,1752489658
419,2285,-1212722879,1913849959
420,2260,182864232,-2060136623
421,2291,-151549660,1507262880
422,2322,22675720,1294881784
423,2384,-799470800,-2002235025
424,2322,-1325267704,-58111140
425,2223,1057130070,816500573
426,2322,297028945,-772900906
427,2322,1309789950,-221529845
428,2291,-1317900496,1590052432
429,2223,-1536833656,726314814
430,2260,1465705093,1227375419
431,2347,-1283275143,185065754
432,2285,1844632810,-590885845
433,2285,-281892663,1044524781
434,2229,-1553945754,797469271
435,2353,1473545386,-265775175
436,2316,766761952,-141351753
437,2254,1353371057,2028073255
438,2353,652131592,-611986369
439,2229,1930806116,-1035851509
440,2378,-1067738789,976321827
441,2291,17100123,1545285490
442,2353,1251441579,1132866127
443,2347,967911954,1370261819
444,2254,1369628908,-851313211
445,2378,-2076385272,-1949759987
446,2229,480771419,-1933831588
447,2316,-2095092227,1000391468
448,2316,701857835,-708213893
449,2285,1407074254,-407297193
450,2260,-1940644542,-479675738
451,2378,568049900,1812606956
452,2322,-1642042965,-2114787678
453,2229,-214245576,980362635
454,2223,-188408782,-1786493876
455,2291,1865508922,1809140515
456,2223,-695035559,1542928380
457,2285,-261066608,1783865664
458,2254,217879274,2119005242
459,2260,1666420776,1129546233
460,2254,1070359739,196658549
461,2260,-540726297,-1261756622
462,2353,2068816878,2117628312
463,2229,-147132879,-552623106
464,2384,682280061,-1230764878
465,2223,1597831718,-1580842586
466,2316,1507193444,762073262
467,2285,950091749,-1938814769
468,2322,-908947442,1603373469
469,2316,-1058173873,-1316691891
470,2223,1807184757,-1251161283
471,2291,-55411937,257306957
472,2322,-666271647,-758137848
473,2378,-367501870,-1135080055
474,2285,1672245021,1205491673
475,2353,943059090,528988171
476,2285,-1589010386,-52275009
477,2353,2078172741,-1539145845
478,2353,-1723368991,1644120762
479,2254,-1776628465,2089235276
480,2254,-1492473238,-1654587627
481,2316,-1738446550,-1031787049
482,2322,343073891,597406761
483,2254,881439817,1491224512
484,2291,-449269183,-841797820
485,2285,-1564765514,-1582677114
486,2285,-333493162,1310948424
487,2347,1091217322,-1134375619
488,2291,-2046209991,-656805257
489,2229,-675026032,1943070757
490,2384,1214047352,-1477288425
491,2229,-209497261,2024712831
492,2223,1667856093,-289306886
493,2378,2013925928,942678692
494,2384,-1155125047,3967026
495,2384,-297446708,-1795351486
496,2353,-1872579012,-219796950
497,2291,513052302,1896273254
498,2285,-2030340599,560542485
499,2353,-184213879,-1301439033
500,2347,1405320517,-1744910126
501,2285,-1904247161,1816879122
502,2260,1663455249,609112741
503,2322,1633315511,2022171189
504,2347,-75524467,-1236700182
505,2285,-332828717,1090856939
506,2322,-1396538938,1355897782
507,2291,-1727201239,2025909695
508,2254,-184355372,2106286600
509,2285,847817001,1886075718
510,2229,-1093619549,-1155329817
511,2285,558710828,1356618196
512,2347,-600089286,1057006957
513,2378,2146299750,-578122548
514,2347,272411214,-788730430
515,2316,809297532,1795028192
516,2291,-985393556,1358974085
517,2347,-1767567709,-760566227
518,2316,1176838376,2032793620
519,2316,-518929166,-150463707
520,2229,-227896125,1507678281
521,2260,1300263941,-654368671
522,2384,-1734193760,145191631
523,2260,1748724275,1798004010
524,2353,-1019445833,-658141847
525,2223,-339449749,2098518661
526,2316,-1645405873,1415467940
527,2260,1285469704,1792047273
528,2260,-1650444703,733011841
529,2291,-1418250207,-1782350378
530,2384,1849282329,-1061613535
531,2347,-376114877,-799388510
532,2384,1195019015,-257989554
533,2378,907794074,1149995079
534,2291,1640834014,-1220524873
535,2322,972537675,363849409
536,2291,891816785,-1428804691
537,2260,-101908170,-76599202
538,2316,798788004,889648596
539,2347,1622175102,1579602233
540,2353,1745220862,-1530728095
541,2254,-1954802571,-798319705
542,2347,1613623589,859853022
543,2353,1284895185,-543906198
544,2384,953846697,1210981421
545,2291,-696939401,788093305
546,2223,576810921,-1615977159
547,2254,-49528148,-155793898
548,2378,-1815546304,-2032306124
549,2254,-3476123,-203075792
550,2384,-1888965653,1986945592
551,2223,1804752204,-209991647
552,2353,629323804,699215752
553,2291,-609076233,-121817364
554,2384,551667192,80023180
555,2384,1183940992,1759224761
556,2322,-1759729064,1440002036
557,2229,730187694,-306360054
558,2260,-229613626,1129232287
559,2353,-1428391775,-2109261454
560,2384,-1810049454,-1561168202
561,2353,1353871584,1857860374
562,2353,-918951583,-1006046162
563,2254,1745004513,-1435450277
564,2254,-451711939,-714192587
565,2353,1616790584,-2027396373
566,2260,816953003,-1431217012
567,2384,-1080120859,1036800916
568,2378,-1006867905,-1330406294
569,2353,15260998,-1313603753
570,2347,2128986033,55637376
571,2260,1555892522,969507352
572,2291,-353881980,1404383945
573,2347,-454133790,138538910
574,2322,1828446715,-215373142
575,2285,914362913,-1600917613
576,2347,302476024,1964040346
577,2347,-1680054183,345305365
578,2285,533601489,1677827805
579,2254,1082159478,-127566077
580,2347,837936035,-1578919226
581,2291,1278156053,645826221
582,2347,1084973369,-1759461753
583,2378,271772625,988145299
584,2291,-1975858858,1008189209
585,2229,-640278138,126138676
586,2223,-2049229816,-2141644894
587,2254,1758433050,-565465402
588,2347,97800150,-844241559
589,2316,-1353527209,823652999
590,2378,-554694088,-15273959
591,2229,-936317243,1924147711
592,2291,1999856540,1990356871
593,2291,1000340046,1728557147
594,2285,-633626721,-1975711268
595,2285,-579206436,1221456519
596,2291,103320445,1976914636
597,2260,-1222949918,1246283444
598,2229,1250910250,-130756463
599,2254,259750578,287727372
600,2316,-652364648,950631988
601,2384,2076440147,1545690656
602,2316,1668384927,293838532
603,2316,2110057388,1889080447
604,2223,-1657556401,1234985573
605,2347,-717334880,1658243459
606,2260,1076797171,-949208159
607,2285,783133778,467655424
608,2347,194390241,1335336081
609,2291,-1288249636,2139038428
610,2322,-1716365896,2138441528
611,2316,-747699672,-482570089
612,2347,-508531298,47564792
613,2353,-1554319725,-2135900163
614,2285,1373391416,320620585
615,2260,1695803372,-1763471573
616,2223,159637183,-1110993101
617,2260,-469449179,2115137946
618,2347,2011318553,123235410
619,2285,-758340806,-1097440508
620,2384,1632194888,2119684344
621,2316,348009605,1047172777
622,2254,1712554302,1251170315
623,2322,-840889369,1519051598
624,2347,-996730660,-372574941
625,2378,996542035,-1810530956
626,2223,-1956456469,753486659
627,2285,2094157265,-1737337021
628,2285,-1543613800,48016318
629,2378,-1071328377,-591731485
630,2353,131066729,1882620209
631,2285,2054249755,-1434223239
632,2254,39071228,-1599493043
633,2347,1153864629,-1761689300
634,2322,-558585982,1503391240
635,2223,-1043107606,-1058801782
636,2384,1482840274,-340598774
637,2378,798201114,-2006122545
638,2378,-1287869949,-480997902
639,2384,1552986484,-1140754651
640,2347,-821860576,-58595214
641,2384,-1247144196,1869737083
642,2223,-407302935,-230176965
643,2285,1107083806,685118141
644,2378,-1384273118,-350751682
645,2223,367223975,-1392042422
646,2260,-1910620717,-1863947359
647,2316,-2125939226,1120238813
648,2347,481146566,-698420332
649,2260,-958812650,491500550
650,2254,-781904825,-35098269
651,2347,-779240158,1714079438
652,2291,-443092569,-439985163
653,2353,-111062233,912818623
654,2223,565265247,579793854
655,2378,1974418414,-284905399
656,2316,1861959669,-934948585
657,2347,989280083,612057597
658,2229,-1111455382,1586338665
659,2285,-1359732677,-279635258
660,2384,-1457635098,-1978989659
661,2378,2027447547,549805788
662,2316,1786822287,830368964
663,2347,-358537739,-800036100
664,2322,1305649140,217791854
665,2378,-233431460,858334054
666,2322,120370383,-41495998
667,2254,154074796,-1076793457
668,2353,-1464333901,-227184490
669,2223,-1889286509,-1515725503
670,2229,158696450,1838908238
671,2322,-1268530497,-15993439
672,2316,-365161826,-1136850500
673,2223,-2077020834,1429680763
674,2260,427807265,-381951506
675,2223,-1793443568,-101926397
676,2384,840208188,-1407666313
677,2260,-499000997,1928727849
678,2384,-1187799201,1706931597
679,2322,786427652,-1104585562
680,2316,-245148181,-1704950212
681,2254,850561578,-522036298
682,2384,-12065145,-1228392126
683,2353,-1993107248,-620921339
684,2229,-422547710,1853599317
685,2254,8070904,1546644537
686,2285,-615839337,2059529678
687,2347,-1564315076,-1413879344
688,2316,1344651589,1199295534
689,2322,350473461,4363718
690,2316,-709663538,-600338425
691,2260,-375946336,-685440226
692,2384,193845450,1421004896
693,2291,-978252578,601337060
694,2285,-516541006,-1539216279
695,2223,1787418803,302420578
696,2322,-1010202752,1094605125
697,2223,-481180311,-2146113693
698,2322,-1634980957,-743833819
699,2229,-655322049,-820685744
700,2260,98648986,154209522
701,2254,-302712676,518481480
702,2378,-2145844466,-457311820
703,2260,-688968260,-763506307
704,2353,1063295518,-540403644
705,2260,908046957,-1447469711
706,2223,158458235,-1781064416
707,2260,115656009,860468571
708,2322,583313956,1386216645
709,2254,-752872434,1984577680
710,2260,948524542,-153029233
711,2347,2023924015,1863621590
712,2347,-950479954,1477301779
713,2291,-2057364827,655218350
714,2322,-1202757148,-1335219979
715,2223,-1140635321,-1003264835
716,2291,-1624262096,1071534607
717,2353,-1659708457,-1468700818
718,2291,2017062775,-678618828
719,2378,1461943025,-1430345922
720,2223,-61782558,-990097191
721,2285,216694975,-1068435030
722,2285,-622165768,1851839921
723,2254,-1873990398,1426615264
724,2291,2077613287,263901361
725,2223,1281048943,-583283537
726,2285,1162182086,-521025889
727,2229,1655851165,-619122089
728,2378,1744914574,-1125998328
729,2229,-587783054,1091187846
730,2254,-1160662615,1333884808
731,2353,-1463823306,1283854457
732,2322,381510898,1877603200
733,2229,1017292172,414274139
734,2378,2017390579,-1485809347
735,2260,882005488,-1749846714
736,2254,-997930514,2053985425
737,2223,1059157330,1763757981
738,2322,-1884096350,-1740577677
739,2254,781203669,-678104845
740,2384,882727936,527909225
741,2223,1975537975,1866579717
742,2291,15602488,-1156981347
743,2291,2063978467,-161025756
744,2322,-940614613,-2018719094
745,2254,-835002396,-54669862
746,2347,1390964189,-1848909311
747,2378,1187041370,965414647
748,2223,1310282973,-2074444856
749,2229,-1600423506,478396203
750,2384,2005010366,-846305008
751,2285,-1741264308,-1958362554
752,2322,-1045498527,2061195373
753,2254,-2042759697,1217779328
754,2285,464178295,2024453488
755,2285,807876285,685356392
756,2229,-288681706,1281874113
757,2347,-777163325,293729862
758,2384,-1987803127,-1311911767
759,2322,1596348780,-52210691
760,2229,-2045370165,-1215510529
761,2291,-206059699,-176275273
762,2316,600100039,774678680
763,2229,1766120123,1657304315
764,2285,-1446807321,637855875
765,2353,-1326622147,93123246
766,2285,1934640300,895632402
767,2254,-757142196,-324482340
768,2229,161429706,2110202908
769,2378,-564459639,1841100717
770,2260,152292822,-1060977916
771,2353,226850614,-1022370308
772,2285,-997942446,1579615400
773,2347,-2010810439,-1813580910
774,2260,1230004763,841140171
775,2229,-1990055298,-1699529420
776,2291,-544777159,-913372052
777,2353,-1821312253,1581456721
778,2322,1669434078,-1840848043
779,2254,-1622059705,-1095603858
780,2229,-1719531452,1601224685
781,2254,-223541386,376365559
782,2285,2028600335,195604573
783,2291,1928473828,1660586236
784,2353,338476827,-1419505105
785,2378,74216297,-618859949
786,2229,1862973207,1934150014
787,2254,-586384986,-282350462
788,2223,732292033,-457620277
789,2384,-1052215091,717795421
790,2260,663784603,2088822178
791,2347,625970831,-1479566262
792,2347,-416389147,909949124
793,2229,-552398119,535406616
794,2384,-1079872006,-1408670459
795,2291,2069596568,-680915697
796,2223,-557304388,-547704581
797,2378,1232168435,163222012
798,2223,23547904,1676824225
799,2223,837535434,-858724576
800,2378,278024877,-1716227750
801,2229,-1495528483,-1115166622
802,2347,-651938556,506848155
803,2285,-158294912,-581903076
804,2316,-1391592114,1845720635
805,2291,1255173419,-1561568437
806,2322,1761808417,559275200
807,2229,1016142683,-787609316
808,2316,490849572,1562702883
809,2285,-924754416,-2098371981
810,2223,-1755455483,-1085991074
811,2347,-270180126,-1052485102
812,2229,-1266564558,-300008669
813,2353,896176610,890537200
814,2378,1517019311,-1386485493
815,2378,1119870498,-1830852440
816,2260,-2021822002,1809536853
817,2254,613527605,-310637799
818,2254,111188521,1910257446
819,2260,-1621563210,1650127969
820,2291,-1247960585,-2144024375
821,2291,-1442128759,-18357805
822,2378,780817199,-308076616
823,2322,-615734846,-20760299
824,2384,1842111544,213834496
825,2316,-1393284340,996775246
826,2260,1262143394,-909763435
827,2347,1693416363,375833864
828,2285,1108642431,1732524961
829,2223,1106665761,-1162526043
830,2260,1869709091,-1447274909
831,2378,-141019711,232618467
832,2223,-1487085039,-1902260338
833,2291,1208409126,-264838354
834,2378,-264321974,-1803167240
835,2223,-383717504,-1278110935
836,2260,-1105839012,825067122
837,2322,-41965507,642955280
838,2285,-1171003613,-1771965656
839,2353,-1712621483,286648317
840,2384,429572022,1683343050
841,2260,1562000260,-750821586
842,2353,-900599794,1761134656
843,2254,-1459619822,-1617822004
844,2223,-1535012573,2056449040
845,2285,255809837,2072953536
846,2378,617545420,909799566
847,2316,-1730411966,-1327134421
848,2223,176877961,1279121743
849,2316,-73223846,-564701160
850,2223,111920996,455337990
851,2260,-893246122,-201905538
852,2291,1754955296,467712623
853,2322,1291910225,1055393935
854,2223,-1464699088,64886672
855,2229,348406405,-1893451133
856,2285,709373567,1053418773
857,2254,-1273217180,121164621
858,2322,-597183650,-234587142
859,2378,-2097329382,-1633448191
860,2291,1358156143,1733032297
861,2353,-211658986,1018821430
862,2353,167268559,-702118946
863,2347,-596759307,-712688774
864,2378,1131349888,-948636334
865,2260,-2140803790,-33406862
866,2223,345351224,655507985
867,2223,98477799,2072341289
868,2291,-1799124013,-765882651
869,2254,-1472334113,-1430906398
870,2378,1730223645,-139929919
871,2260,1922636630,-2087880436
872,2260,706542664,-1579638743
873,2378,-786139637,63850597
874,2254,-1228401625,847151968
875,2347,1515876824,1599463627
876,2254,-365878578,-1467021785
877,2347,-1924710213,844226768
878,2285,-809349468,-1230923765
879,2291,892136010,-2059741117
880,2285,-1153389583,-865425997
881,2322,16753578,803846160
882,2347,-58491160,1918109364
883,2322,518918232,1106487786
884,2384,-381343548,-1526760614
885,2254,-1316806229,978063670
886,2316,445318136,1332768974
887,2260,603659253,509137338
888,2353,-1719349963,-1816586325
889,2322,-363715309,1739665949
890,2291,-569858727,-1362015877
891,2223,885319355,-1285511471
892,2254,925591112,-946215038
893,2223,-1443446354,-1033983764
894,2223,-2028354954,7565824
895,2384,858763813,2139152586
896,2260,2095554523,-760681683
897,2291,-683106548,1145401188
898,2322,-1039410940,-1616376744
899,2322,-833202685,-799735011
900,2322,-2112153014,-1353148409
901,2223,-1698323741,2071686499
902,2322,1827682503,1379249348
903,2285,2083394928,1175504110
904,2316,-1118392214,245922014
905,2223,616343533,-822654613
906,2378,1981711368,1615157790
907,2229,1502316459,-1775517224
908,2285,709351949,-1372830386
909,2316,1103521960,-1925170729
910,2285,-1434146277,-1080470258
911,2384,-1048762484,1078441079
912,2260,-1630268240,-1173139501
913,2285,-870252227,-820943581
914,2229,327798138,1378553849
915,2347,-1006234487,-1520527651
916,2347,731564208,1357668513
917,2254,-318808821,-2142027673
918,2260,1994724090,1529559512
919,2384,-124956740,59384147
920,2229,1783328825,1726292514
921,2229,1509763498,-626245768
922,2291,433320893,-566116891
923,2229,-1618781392,363966641
